dull 9,,shiny 9,,dull 5,,shiny 5,,shiny 4,,dull 4,,dull 3,,shiny 3,
dx9,dy9,sx9,sy9,dx5,dy5,sx5,sy5,sx4,sy4,dx4,dy4,dx3,dy3,sx3,sy3
182.249396,31.63016287,182.3154292,51.13851483,317.4755257,68.48128555,317.3041757,69.46536353,405.7490272,74.45195602,405.5211228,74.95405413,550.581992,67.51497482,550.6232394,65.48833819
182.9031245,31.28645944,183.0880174,52.87885441,318.3474842,68.43496667,318.34985,70.41227557,407.0025014,74.36300655,406.774597,75.05205429,551.943159,67.44977472,552.1493964,65.34888241
183.556853,31.25372578,183.7648575,54.66545302,319.4262794,68.21002768,319.4877896,70.84235948,408.2559755,74.18539027,408.0280712,75.15822112,553.304326,67.3193745,553.5930584,65.20942663
184.2105814,31.53196189,184.4483009,56.735857,320.4411985,68.20184426,320.564219,71.14241803,409.5094497,73.96437393,409.2815453,75.17455448,554.665493,67.22157434,555.1192153,65.04008746
184.8643099,32.17026826,185.1020293,58.91878293,321.4561177,68.20184426,321.6983143,71.57750293,410.7629238,73.89677449,410.5350195,75.17455448,556.02666,67.1319242,556.5628773,64.89067055
185.5180383,33.19319512,185.6963279,61.10170887,322.4710368,68.23457792,322.7610137,71.8925644,412.1227534,73.53128834,411.7884936,75.17455448,557.387827,67.009674,558.0890342,64.72133139
186.1717668,34.59255908,186.2906265,63.37465237,323.485956,68.36551256,323.8242624,72.28264052,413.1966172,73.37694587,413.0419678,75.17455448,558.748994,66.92002385,559.5326962,64.57191448
186.7957803,36.39863876,186.8509652,65.57847524,324.5008751,68.47189696,324.9006918,72.55269321,414.4663702,73.22315951,414.2954419,75.17455448,560.110161,66.78962364,561.0588531,64.39261419
187.3306491,38.46229142,187.4197938,67.89803498,325.5157943,68.64374867,326.0386314,72.91276347,415.1419439,72.98005092,415.5489161,75.15005444,561.471328,66.69182348,562.5025151,64.22327502
187.7169431,40.38641686,188.0140924,70.19348287,326.5307135,68.84015063,327.1150608,73.23282592,416.4225496,72.75903204,416.8023902,75.03572093,562.832495,66.5777233,564.028672,64.04397473
187.9843775,42.18676815,188.608391,72.4101654,327.5456326,69.044736,328.2491561,73.55788934,417.7519918,72.4895316,418.0558644,74.99488753,564.193662,66.44732309,565.4001509,63.87090015
188.222097,44.21216335,189.2291029,74.54308158,328.5605518,69.31478869,329.3118555,73.79579291,419.1574023,72.16014218,419.3093385,74.92138741,565.554829,66.36582295,566.9984909,63.68537415
188.4003865,46.41759368,189.8828314,76.62348751,329.5754709,69.56847456,330.4635252,74.01922936,420.4868445,71.85071575,420.5628127,74.81522057,566.915996,66.23542274,568.3699698,63.51229956
188.8461105,48.56983181,190.6356096,78.63387978,330.5903901,69.87126091,331.5262246,74.19444212,421.7934964,71.52731522,421.8162868,74.69272037,568.277163,66.10502253,569.9683099,63.31681244
189.4998389,49.52729136,191.4081978,80.26419789,331.6053092,70.15768043,332.6778942,74.39055181,423.0811562,71.23984809,423.069761,74.58655353,569.63833,66.01537238,571.3397887,63.14249271
190.1535674,50.68115286,192.1543727,81.40442037,332.6202284,70.47683362,333.7405937,74.47735447,424.2805031,70.90746421,424.3232351,74.44771997,570.999497,65.88497217,572.9329728,62.91836735
190.8072959,51.99049925,192.8279111,82.07580138,333.6351475,70.80417022,334.8922633,74.59309133,425.5640479,70.58306554,425.5767093,74.28438637,572.360664,65.73827193,574.3582208,62.73906706
191.4610243,53.4962476,193.5212595,82.41461749,334.6500667,71.13150681,335.9549627,74.59309133,426.8301834,70.22248393,426.8301834,74.12105277,573.721831,65.63232176,575.9027918,62.49252915
192.1147528,55.20658133,194.2146078,82.41461749,335.6649858,71.45066,337.1066324,74.59309133,428.1596257,69.8843607,428.0836576,73.94138581,575.082998,65.50192155,577.3103622,62.30202259
192.7387663,57.03966628,194.9475761,82.07455113,336.679905,71.76981318,338.1693318,74.59309133,429.4510839,69.53966483,429.3371317,73.75355217,576.444165,65.36337132,578.9052649,62.11151603
193.3330649,59.02905445,195.6296045,81.48586484,337.6948241,72.08078295,339.3210014,74.5078308,430.7045581,69.12512947,430.5906059,73.5412185,577.805332,65.2248211,580.2801811,61.89859694
193.8976486,60.99043716,196.3276695,80.5942623,338.7097433,72.40811954,340.3066441,74.42524995,431.9580322,68.7873941,431.84408,73.32071814,579.166499,65.1025709,581.7238431,61.65330418
194.4325173,62.95081967,196.9880013,79.55691703,339.7615686,72.608387,341.3854392,74.20570976,433.3001359,68.44134218,433.0975542,73.10021778,580.527666,64.95587066,583.167505,61.45408163
194.9673861,64.95120999,197.6483331,78.31381733,340.7395816,72.92791942,342.4003584,74.10455477,434.4649805,68.07883253,434.3510283,72.84112156,581.888833,64.81732043,584.693662,61.23493683
195.4725399,66.86283299,198.7055242,76.17079918,341.7545008,73.19077337,343.4152775,73.80355812,435.7412451,67.61955887,435.6045025,72.67964704,583.25,64.66247018,586.1373239,60.99586978
195.9776937,68.82196526,199.357767,74.34554303,342.7694199,73.59962476,344.4301967,73.61074888,437.0630906,67.19734151,436.8579767,72.17248294,584.611167,64.53206997,587.6634809,60.73688047
196.5125624,70.76234387,200.0337816,72.55644394,343.7843391,73.75838301,345.4451159,73.22300804,438.3773393,66.78011491,438.1114508,72.10410857,585.972334,64.38536973,589.1071429,60.49781341
197.0771461,72.77473653,200.6355089,70.78984924,344.7992582,73.84021716,346.460035,72.9671865,439.7827497,66.31098452,439.364925,71.92421587,587.333501,64.23866949,590.6332998,60.26870748
197.7011596,74.77312646,201.2743799,68.876976,345.8141774,74.08196056,347.5610685,72.57790788,441.0969983,65.87678937,440.6183991,71.68329881,588.694668,64.07566923,592.0769618,60.00971817
198.3548881,76.69716422,201.8909647,66.94159836,346.8290965,74.22795801,348.3668528,72.33045472,442.4188438,65.40965527,441.8718733,71.40889836,590.055835,63.92081898,593.6031187,59.76068999
198.9937591,78.16753879,202.5149783,64.88244657,347.8440157,74.4856757,349.5868061,71.79254489,443.7330925,64.97346382,443.1728275,70.89323449,591.417002,63.76596873,595.0232107,59.48604748
199.662345,79.8304769,203.1687067,62.66576405,348.8589348,74.50307377,350.611977,71.37496341,445.1650917,64.45742039,444.3788216,70.70331381,592.778169,63.60296846,596.5677817,59.22029883
200.3160734,80.93523792,203.7630053,60.55035129,349.873854,74.56854109,351.6884064,70.85236144,446.4527515,64.00825299,445.5534057,70.29816721,594.139336,63.4399682,597.9753521,58.91772959
200.9698019,81.73721258,204.4252238,58.19703496,350.8887731,74.6831089,352.7472614,70.34940616,447.7594034,63.52614665,446.8857699,69.92642021,595.500503,63.26881792,599.4190141,58.65500486
201.6235304,82.22821748,205.0110324,56.03822087,351.9036923,74.6831089,353.8105101,69.79215457,449.0888457,63.04703476,448.0778851,69.75344952,596.86167,63.10581765,600.8626761,58.34620991
202.2772588,82.42461944,205.605331,53.84404274,352.9186114,74.65037524,354.833118,69.24829845,450.5208449,62.49905054,449.4307022,69.22819895,598.222837,62.92651736,602.388833,58.04737609
202.9309873,82.39188578,206.1996296,51.58235143,353.9335306,74.5194406,355.9326138,68.59192037,451.7477302,62.0389035,450.6461923,68.91071097,599.584004,62.75536708,603.832495,57.76846453
203.5847157,82.08909943,206.7939282,49.30940793,354.9484497,74.47852353,356.9552217,68.01055694,453.1417454,61.46596553,451.8996665,68.55954373,600.945171,62.5842168,605.3586519,57.46963071
204.2384442,81.54081062,207.3882268,47.02521224,355.9633689,74.32303864,358.0547175,67.34167642,454.4294052,60.97188139,453.1531406,68.19204313,602.306338,62.40491651,606.7301308,57.15834548
204.8921727,80.80430328,207.9528104,44.79727752,356.978288,74.16755376,359.0773254,66.71655445,455.8310172,60.30879346,454.3610339,67.75418562,603.667505,62.20931619,608.3233149,56.77733236
205.5459011,79.84684373,208.5504107,42.4868267,357.9932072,73.99570204,360.1768211,66.00141491,457.0503057,59.8489629,455.6600889,67.43450721,605.028672,62.02186589,609.7485628,56.48917118
206.1996296,78.7338993,209.1116927,40.26264271,359.0081264,73.75838301,361.2224954,65.29877781,458.3511139,59.39857798,456.9135631,67.05687462,606.389839,61.83441558,611.1745473,56.09499514
206.853358,77.44910315,209.7059913,37.98969921,360.0230455,73.51288056,362.3194282,64.57113583,459.6863999,58.75499075,458.1670372,66.68120734,607.751006,61.63881527,612.6182093,55.78620019
207.5070865,76.00882212,210.3002899,35.71675571,361.0379647,73.22646104,363.291876,63.88100117,460.9930517,58.16009349,459.3416214,66.25922774,609.112173,61.44321495,614.1443662,55.34791059
208.1608149,74.44578987,210.8945885,33.4550644,362.0528838,72.91549127,364.4415319,63.08084504,462.3073004,57.56719252,460.6739855,65.86453935,610.47334,61.23946462,615.5158451,55.02915452
208.8145434,72.77637322,211.4888871,31.17086871,363.067803,72.57997126,365.4139797,62.37642188,463.6139522,56.94734151,461.9274597,65.46437203,611.834507,61.02756427,617.1416834,54.56098154
209.4682719,70.97602193,212.0831857,28.97669057,364.0827221,72.19535076,366.4713702,61.57055035,464.9282009,56.30952381,463.1809339,65.06420471,613.195674,60.82381394,618.5165996,54.1550656
210.1220003,69.11838674,212.6774843,26.76000805,365.0976413,71.80254684,367.443818,60.87184259,466.2348527,55.62678937,464.434408,64.62320399,614.556841,60.6119136,619.9602616,53.72424684
210.7460139,67.30166862,,,366.1125604,71.40155951,368.5934739,60.0102459,467.5491014,54.94205862,465.6878822,64.20670332,615.918008,60.40001325,621.3317404,53.29218294
211.3403124,65.33028396,,,367.1274796,70.93510485,369.5922832,59.23866678,468.8405596,54.24335378,466.9413563,63.7657026,617.2791751,60.17996289,622.9575788,52.76797862
211.934611,63.45791862,,,368.1423987,70.47683362,370.6233122,58.4199356,470.0940337,53.54464894,468.1948305,63.32470188,618.6403421,59.95991254,624.332495,52.30603134
212.5289096,61.4775322,,,369.1573179,69.97764531,371.59576,57.66978923,471.4880489,52.69821794,469.4483046,62.88370117,620.0015091,59.72356215,625.771001,51.77933673
212.8854888,60.32530738,,,370.172237,69.45390675,372.6531505,56.78961749,472.7275956,51.93762781,470.7017788,62.41820041,621.3626761,59.49536178,627.1785714,51.23022959
,,,,371.1871562,68.91380136,373.6255983,56.02375376,473.9949972,51.07223196,471.9552529,61.96086633,622.7238431,59.2590114,628.6222334,50.6462585
,,,,372.2020753,68.35732915,374.6829888,55.08928571,475.2598666,50.22330558,473.2087271,61.50353226,624.0850101,59.014511,630.0246479,50.05357143
,,,,373.2169945,67.7844901,375.6554366,54.28770074,476.5019455,49.26657902,474.4622012,61.01353146,625.4461771,58.7700106,631.4683099,49.40111759
,,,,374.2319137,67.18710081,376.7128271,53.35894809,477.7541535,48.26443665,475.7156754,60.53169734,626.8073441,58.50106016,632.6479879,48.87915452
,,,,375.2468328,66.57334469,377.6852749,52.51306875,478.6784325,47.50584283,476.9691495,60.04169654,628.1685111,58.25655977,,
,,,,376.261752,65.93503832,378.7426654,51.54859485,,,478.2226237,59.64152923,629.5296781,57.98760933,,
,,,,377.2766711,65.31309879,379.8024358,50.51339286,,,479.3972079,59.00409279,630.8908451,57.71865889,,
,,,,378.2915903,64.65842559,380.7725038,49.62822014,,,480.729572,58.3511938,632.2520121,57.43340843,,
,,,,379.3065094,63.97101874,381.7976746,48.60373453,,,481.9830461,57.70602608,633.6131791,57.14815796,,
,,,,380.3214286,63.28361188,382.7071476,47.65212027,,,483.2365203,57.05269168,634.9743461,56.76510734,,
,,,,381.3363477,62.58802161,,,,,484.4899944,56.34219053,636.3355131,56.37390671,,
,,,,382.3512669,61.88424792,,,,,485.7434686,55.56635593,637.6966801,55.98270607,,
,,,,383.366186,61.13137375,,,,,486.9969427,54.63068775,639.0578471,55.56705539,,
,,,,384.3811052,60.28848201,,,,,488.1853014,53.84207671,640.4190141,55.12695468,,
,,,,385.3960243,59.35557271,,,,,489.2759867,52.85501819,641.7801811,54.6461039,,
,,,,386.4109435,58.37356291,,,,,490.5294608,51.76068308,643.1413481,54.14895309,,
,,,,387.4258626,57.27698531,,,,,491.782935,50.61734789,644.5025151,53.64365227,,
,,,,388.4407818,56.1231238,,,,,493.0364091,49.44951266,645.8636821,53.1139014,,
,,,,389.455701,54.88742815,,,,,494.2898833,48.10201046,647.2248491,52.51895044,,
,,,,390.4706201,53.57808175,,,,,495.5433574,46.64834143,648.5860161,51.8832494,,
,,,,391.4855393,52.20326804,,,,,496.7968316,45.12117228,649.9471831,51.21494832,,
,,,,392.5004584,50.80390409,,,,,497.7654252,43.94244814,651.3083501,50.51404718,,
,,,,393.5153776,49.3308894,,,,,,,652.6695171,49.74794593,,
,,,,394.5302967,47.69420641,,,,,,,654.0306841,48.95739465,,
,,,,395.5452159,45.9347722,,,,,,,655.3918511,48.13424331,,
,,,,396.560135,43.98711944,,,,,,,656.7530181,47.26219189,,
,,,,397.5750542,42.00673302,,,,,,,658.1141851,46.34124039,,
,,,,398.5899733,40.0263466,,,,,,,659.4753521,45.38768884,,
,,,,399.4203617,38.4446094,,,,,,,660.8365191,44.36078717,,
,,,,,,,,,,,,662.1976861,43.28498542,,
,,,,,,,,,,,,663.249497,42.41836735,,
